route_id,date,weekday,week_number,driver_id,origin_barrio,lat_origin,lon_origin,barrios_recorridos,tipo_vehiculo,vehicle_capacity_m3,volumen_cargado_m3,carga_pct,n_paradas,n_paquetes,cliente_top_count,km_total,desviacion_km,velocidad_media_kmh,duracion_min,tiempo_conduccion_min,tiempo_paradas_min,tiempo_espera_deposito_min,tiempo_carga_min,n_incidentes,motivo_incidente,paquetes_no_entregados,porcentaje_entregas_exitosas,prioridad,entregas_retrasadas,clima,turno,estado_ruta,notas_logisticas,costo_est_operativo,eficiencia_carga_pct,tasa_exito_entregas
2098,2025-03-01,5,8,2,city bell,-34.873607,-57.967525,city bell; joaquin gorina,camioneta,13,7.17,55.2,87,97,5,23.9,0.0,45.71,228,34,212,5,30,1,nan,0,100.0,baja,1,despejado,mañana,parcial,entrega parcial,29.51,55.2,100.0
2099,2025-05-06,1,18,3,melchor romero,-34.94382,-57.979473,melchor romero; el carmen; villa san carlos; tolosa,furgoneta,8,4.04,50.5,76,87,3,36.4,0.68,14.86,323,147,176,4,38,0,nan,1,98.85,baja,1,nublado,mañana,parcial,entrega parcial,42.46,50.5,98.85
2100,2025-04-11,4,14,5,melchor romero,-34.948681,-57.981036,melchor romero; los hornos,camion 3.5t,18,9.32,51.8,89,103,1,37.4,0.0,15.69,274,143,131,0,35,0,nan,0,100.0,media,0,nublado,mañana,completa_ok,nan,35.88,51.8,100.0
2101,2025-10-18,5,41,2,villa montoro,-34.898507,-57.949463,villa montoro; los hornos,furgoneta,8,5.42,67.8,78,87,9,9.9,1.26,74.25,187,8,179,6,14,0,nan,0,100.0,media,0,tormenta,mañana,completa_ok,nan,21.89,67.8,100.0
2102,2025-09-14,6,37,1,ringuelet,-34.944171,-57.92293,ringuelet; gonnet,camioneta,13,6.2,47.7,82,98,10,19.4,0.25,25.3,237,46,191,2,29,0,nan,1,98.98,baja,1,despejado,mañana,parcial,contactar cliente,30.36,47.7,98.98
2103,2025-10-01,2,39,6,berisso,-34.861658,-57.874997,berisso; los talas,camioneta,13,5.64,43.4,75,90,4,20.9,2.17,8.83,275,142,133,0,23,0,nan,1,98.89,media,1,nublado,mañana,parcial,entrega parcial,35.4,43.4,98.89
2104,2025-06-11,2,23,1,la plata,-34.918424,-57.95299,la plata; villa elisa; city bell,furgoneta,8,7.76,97.0,71,88,10,34.9,0.39,10.42,292,201,91,18,22,0,nan,1,98.86,baja,1,despejado,mañana,parcial,reintentar mañana,38.7,97.0,98.86
2105,2025-09-28,6,39,1,city bell,-34.8723,-57.983357,city bell; manuel b. gonnet,furgoneta,8,7.84,98.0,86,99,9,32.0,0.57,12.8,309,150,159,21,31,0,nan,0,100.0,media,0,nublado,mañana,con_incidente,nan,40.81,98.0,100.0
2106,2025-05-21,2,20,2,villa elisa,-34.917225,-57.97943,villa elisa,camioneta,13,4.62,35.5,73,83,6,26.2,0.06,18.49,183,85,98,16,34,0,nan,0,100.0,baja,0,lluvia ligera,mañana,completa_ok,nan,25.42,35.5,100.0
2107,2025-12-18,3,50,4,ringuelet,-34.943715,-57.922246,ringuelet; tolosa,camioneta,13,9.97,76.7,75,87,4,23.3,0.97,9.02,236,169,95,2,17,0,nan,0,100.0,media,1,despejado,mañana,parcial,devolver a depósito,31.27,76.7,100.0
2108,2025-05-31,5,21,4,villa elvira,-34.890898,-57.944941,villa elvira; los hornos,camioneta,13,5.5,42.3,84,94,6,24.2,0.0,22.0,287,66,221,0,22,0,nan,1,98.94,baja,1,despejado,mañana,parcial,devolver a depósito,34.58,42.3,98.94
2109,2025-05-26,0,21,1,gonnet,-34.931356,-57.921285,gonnet; manuel b. gonnet,furgoneta,8,7.84,98.0,72,88,5,17.6,1.4,18.86,250,56,194,4,18,0,nan,0,100.0,alta,1,despejado,mañana,con_incidente,nan,31.32,98.0,100.0
2110,2025-08-12,1,32,2,villa elisa,-34.913013,-57.97785,villa elisa; la plata,camioneta,13,7.63,58.7,86,104,7,23.1,0.0,231.0,219,6,213,0,27,0,nan,2,98.08,baja,1,despejado,mañana,parcial,reintentar mañana,26.42,58.7,98.08
2111,2025-07-06,6,27,3,melchor romero,-34.945798,-57.985511,melchor romero; ringuelet,furgoneta,8,5.0,62.5,75,92,4,32.2,0.01,42.0,205,46,159,13,21,0,nan,1,98.91,media,1,despejado,mañana,parcial,devolver a depósito,27.99,62.5,98.91
2112,2025-04-02,2,13,7,berisso,-34.860455,-57.876537,berisso; los talas,furgoneta,8,7.84,98.0,82,98,4,27.3,0.49,23.37,341,57,210,16,30,1,nan,2,97.96,media,0,lluvia ligera,mañana,con_incidente,nan,33.91,98.0,97.96
2113,2025-09-27,5,38,5,gonnet,-34.931603,-57.928244,gonnet; manuel b. gonnet,camion 3.5t,18,7.16,39.8,85,97,5,41.8,2.02,31.35,288,80,208,28,38,0,nan,3,96.91,media,1,nublado,mañana,parcial,contactar cliente,37.52,39.8,96.91
2114,2025-09-16,1,37,5,la plata,-34.919303,-57.959804,la plata; centro,camioneta,13,10.6,81.5,75,85,7,20.3,1.57,243.6,169,5,204,0,27,0,nan,0,100.0,media,0,despejado,mañana,completa_ok,nan,24.22,81.5,100.0
2115,2025-09-12,4,36,7,el peligro,-34.829572,-57.906177,el peligro; abasto,camioneta,13,2.01,15.5,88,98,7,33.6,0.0,403.2,219,5,220,13,31,0,nan,0,100.0,baja,0,nublado,mañana,completa_ok,nan,31.56,15.5,100.0
2116,2025-02-08,5,5,2,gonnet,-34.93188,-57.922225,gonnet; city bell; melchor romero,furgoneta,8,7.22,90.2,67,78,6,34.1,0.46,17.43,203,126,116,0,42,0,nan,0,100.0,baja,1,lluvia ligera,mañana,parcial,entrega parcial,31.3,90.2,100.0
2117,2025-08-21,3,33,2,tolosa,-34.922553,-57.956297,tolosa; manuel b. gonnet,furgoneta,8,6.36,79.5,72,81,5,21.2,0.88,13.33,226,108,140,1,30,0,nan,0,100.0,media,0,despejado,mañana,con_incidente,nan,30.69,79.5,100.0
2118,2025-11-25,1,47,7,villa elisa,-34.914848,-57.98203,villa elisa; la plata,furgoneta,8,6.49,81.1,85,99,9,18.7,0.47,224.4,171,5,178,2,25,0,nan,0,100.0,media,0,despejado,mañana,completa_ok,nan,24.53,81.1,100.0
2119,2025-02-22,5,7,1,ringuelet,-34.947787,-57.932707,ringuelet; tolosa,furgoneta,8,7.84,98.0,87,98,10,19.2,2.11,8.73,245,132,113,1,27,0,nan,1,98.98,baja,1,despejado,mañana,parcial,contactar cliente,30.22,98.0,98.98
2120,2025-10-19,6,42,3,joaquin gorina,-34.867834,-57.934284,joaquin gorina; villa elisa; la plata; melchor romero,camioneta,13,3.97,30.5,78,93,1,15.4,2.02,184.8,199,5,206,2,35,0,nan,1,98.92,baja,1,despejado,mañana,parcial,reintentar mañana,26.8,30.5,98.92
2121,2025-07-28,0,30,2,el carmen,-34.842156,-57.894721,el carmen; villa san carlos; altos de san lorenzo; villa elvira,camioneta,13,7.58,58.3,80,95,7,43.1,3.07,161.62,235,16,219,2,36,0,nan,1,98.95,media,1,despejado,mañana,parcial,reintentar mañana,31.31,58.3,98.95
2122,2025-06-04,2,22,3,ringuelet,-34.947051,-57.926791,ringuelet,furgoneta,8,4.69,58.6,72,91,9,29.1,1.59,14.66,204,124,99,4,32,0,nan,0,100.0,baja,0,despejado,mañana,completa_ok,nan,29.76,58.6,100.0
2123,2025-10-05,6,40,2,la plata,-34.927929,-57.954224,la plata; joaquin gorina; gonnet; ringuelet,furgoneta,8,6.74,84.2,78,87,4,23.2,2.94,251.0,201,6,213,7,17,0,nan,0,100.0,media,0,lluvia ligera,mañana,completa_ok,nan,29.72,84.2,100.0
2124,2025-10-13,0,41,2,lisandro olmos,-34.802547,-57.898221,lisandro olmos; abasto,furgoneta,8,7.37,92.1,77,92,10,15.0,1.1,10.98,248,82,166,0,24,0,nan,0,100.0,media,1,despejado,mañana,con_incidente,nan,31.05,92.1,100.0
2125,2025-06-23,0,25,3,city bell,-34.874255,-57.976087,city bell,camioneta,13,6.46,49.7,94,112,5,19.4,3.06,32.33,242,36,206,1,11,0,nan,0,100.0,media,0,lluvia ligera,mañana,completa_ok,nan,31.42,49.7,100.0
2126,2025-10-09,3,40,3,lisandro olmos,-34.80003,-57.901472,lisandro olmos; melchor romero; manuel b. gonnet; ringuelet,camioneta,13,7.06,54.3,82,103,8,26.7,2.38,320.4,206,5,217,22,5,0,nan,0,100.0,baja,0,lluvia ligera,mañana,completa_ok,nan,29.06,54.3,100.0
2127,2025-12-29,0,52,5,manuel b. gonnet,-34.92107,-57.927368,manuel b. gonnet; city bell,camioneta,13,6.5,50.0,83,99,4,16.3,0.58,8.02,230,122,108,6,26,0,nan,0,100.0,media,0,nublado,mañana,completa_ok,nan,26.89,50.0,100.0
2128,2025-07-02,2,26,7,city bell,-34.872018,-57.982892,city bell; joaquin gorina; gonnet,camioneta,13,6.31,48.5,73,88,9,12.4,1.1,7.29,201,102,99,24,29,0,nan,1,98.86,media,1,despejado,mañana,parcial,contactar cliente,24.32,48.5,98.86
2129,2025-03-02,6,9,1,tolosa,-34.922183,-57.955827,tolosa; manuel b. gonnet,camioneta,13,7.89,60.7,89,109,8,33.3,0.89,12.49,366,160,206,26,33,0,nan,0,100.0,media,1,nublado,mañana,con_incidente,nan,46.35,60.7,100.0
2130,2025-07-02,2,26,1,city bell,-34.873297,-57.981631,city bell; manuel b. gonnet; berisso,camioneta,13,8.87,68.2,73,81,8,27.7,0.0,15.39,250,108,142,0,31,0,nan,1,98.77,alta,1,lluvia ligera,mañana,parcial,devolver a depósito,30.76,68.2,98.77
2131,2025-01-24,4,3,6,los hornos,-34.917107,-57.988186,los hornos; la plata; melchor romero,camioneta,13,6.25,48.1,71,84,5,17.3,1.6,7.26,267,143,124,13,19,0,nan,0,100.0,media,1,lluvia ligera,mañana,con_incidente,nan,34.09,48.1,100.0
2132,2025-06-14,5,23,1,tolosa,-34.919585,-57.957376,tolosa; gonnet; manuel b. gonnet; el peligro,furgoneta,8,7.84,98.0,63,75,3,22.6,1.64,8.31,220,177,84,5,16,0,nan,0,100.0,media,1,nublado,mañana,parcial,entrega parcial,31.66,98.0,100.0
2133,2025-09-26,4,38,4,city bell,-34.872336,-57.979075,city bell,furgoneta,8,7.84,98.0,74,89,5,13.1,2.58,6.09,224,129,95,6,25,0,nan,0,100.0,baja,0,despejado,mañana,con_incidente,nan,28.17,98.0,100.0
2134,2025-02-12,2,6,3,el carmen,-34.837736,-57.893579,el carmen; villa san carlos,camioneta,13,7.75,59.6,83,103,8,31.6,1.68,16.06,281,99,149,4,20,1,nan,2,98.06,media,1,viento fuerte,mañana,parcial,devolver a depósito,31.17,59.6,98.06
2135,2025-02-26,2,8,5,abasto,-34.822133,-57.92138,abasto; el peligro,furgoneta,8,7.84,98.0,68,78,11,32.9,0.21,13.34,271,148,123,10,29,0,nan,1,98.72,media,1,despejado,mañana,parcial,entrega parcial,34.18,98.0,98.72
2136,2025-09-23,1,38,3,berisso,-34.857491,-57.87777,berisso; los talas,camion 3.5t,18,9.46,52.6,88,101,7,38.4,0.48,25.32,301,91,210,11,29,0,nan,1,99.01,baja,1,nublado,mañana,parcial,entrega parcial,39.03,52.6,99.01
2137,2025-08-19,1,33,5,ringuelet,-34.945777,-57.92842,ringuelet; manuel b. gonnet; gonnet,camioneta,13,8.35,64.2,86,94,2,3.0,0.0,3.6,277,50,227,0,27,0,nan,1,98.94,media,1,despejado,mañana,parcial,devolver a depósito,31.18,64.2,98.94
2138,2025-02-08,5,5,2,los hornos,-34.916402,-57.990557,los hornos; melchor romero,camioneta,13,7.33,56.4,78,92,9,27.1,2.0,24.64,278,66,212,15,31,0,nan,0,100.0,media,0,despejado,mañana,con_incidente,nan,33.79,56.4,100.0
2139,2025-08-20,2,33,1,ringuelet,-34.943717,-57.928892,ringuelet; tolosa,camioneta,13,8.46,65.1,79,97,12,32.9,3.5,19.43,260,105,206,2,33,0,nan,0,100.0,media,1,nublado,mañana,con_incidente,nan,38.12,65.1,100.0
2140,2025-03-19,2,11,5,la plata,-34.921184,-57.953288,la plata; los hornos; villa elvira; villa montoro,furgoneta,8,7.05,88.1,84,97,8,44.4,0.71,19.54,316,117,196,6,26,2,nan,3,96.91,alta,1,despejado,mañana,parcial,entrega parcial,40.0,88.1,96.91
2141,2025-05-20,1,20,5,melchor romero,-34.949897,-57.975269,melchor romero; los hornos; villa elvira,camioneta,13,3.81,29.3,86,97,9,31.3,0.0,13.23,275,142,133,13,18,0,nan,1,98.97,media,1,despejado,mañana,parcial,contactar cliente,36.43,29.3,98.97
2142,2025-08-08,4,31,1,ringuelet,-34.948677,-57.935735,ringuelet,camioneta,13,5.23,40.2,71,82,8,16.9,0.43,16.9,195,60,135,3,14,0,nan,1,98.78,media,1,despejado,mañana,parcial,contactar cliente,23.76,40.2,98.78
2143,2025-07-02,2,26,5,gonnet,-34.92733,-57.921271,gonnet; ringuelet,furgoneta,8,7.84,98.0,79,87,10,18.5,0.0,61.67,187,18,169,2,12,0,nan,0,100.0,baja,0,despejado,mañana,completa_ok,nan,24.62,98.0,100.0
2144,2025-06-25,2,25,4,tolosa,-34.919788,-57.953777,tolosa; ringuelet,furgoneta,8,7.29,91.1,63,70,5,12.9,0.28,9.11,231,85,146,17,23,0,nan,0,100.0,media,1,lluvia ligera,mañana,con_incidente,nan,28.03,91.1,100.0
2145,2025-10-12,6,41,5,melchor romero,-34.950327,-57.979978,melchor romero; lisandro olmos,camioneta,13,7.17,55.2,79,103,7,24.2,0.0,19.89,266,73,193,8,25,0,nan,2,98.06,media,1,nublado,mañana,parcial,contactar cliente,33.89,55.2,98.06
2146,2025-12-13,5,49,1,tolosa,-34.921058,-57.947826,tolosa; manuel b. gonnet; gonnet,furgoneta,8,7.84,98.0,82,99,7,13.6,0.98,163.2,194,5,195,10,32,0,nan,2,97.98,media,1,nublado,mañana,parcial,reintentar mañana,23.5,98.0,97.98
2147,2025-01-08,2,1,5,joaquin gorina,-34.86895,-57.942755,joaquin gorina; city bell,furgoneta,8,6.38,79.8,74,82,7,24.0,0.0,42.35,212,34,178,2,33,0,nan,0,100.0,media,0,despejado,mañana,completa_ok,nan,26.95,79.8,100.0
2148,2025-09-01,0,35,6,gonnet,-34.935506,-57.922731,gonnet; manuel b. gonnet; ringuelet,camioneta,13,5.62,43.2,87,104,6,23.3,0.0,24.1,293,58,235,0,34,0,nan,0,100.0,media,1,lluvia ligera,mañana,con_incidente,nan,36.26,43.2,100.0
2149,2025-12-26,4,51,1,villa montoro,-34.90369,-57.945477,villa montoro; los hornos,furgoneta,8,6.63,82.9,60,69,4,17.4,1.55,9.24,202,113,89,1,36,0,nan,0,100.0,media,0,lluvia ligera,mañana,con_incidente,nan,25.46,82.9,100.0
2150,2025-07-15,1,28,6,la plata,-34.925406,-57.957447,la plata; centro,camioneta,13,4.9,37.7,73,84,10,34.8,0.0,29.19,195,74,153,0,26,0,nan,0,100.0,baja,1,despejado,mañana,parcial,entrega parcial,29.72,37.7,100.0
2151,2025-01-05,6,1,4,manuel b. gonnet,-34.927762,-57.926737,manuel b. gonnet; gonnet,furgoneta,8,6.83,85.4,81,96,8,32.1,0.28,20.27,288,95,193,4,28,0,nan,0,100.0,media,0,nublado,mañana,con_incidente,nan,37.47,85.4,100.0
2152,2025-11-11,1,45,7,melchor romero,-34.949536,-57.974827,melchor romero; lisandro olmos,furgoneta,8,6.25,78.1,79,89,6,21.0,0.0,20.32,225,62,163,0,32,0,nan,0,100.0,baja,0,nublado,mañana,completa_ok,nan,27.13,78.1,100.0
2153,2025-09-25,3,38,3,lisandro olmos,-34.79824,-57.901069,lisandro olmos; melchor romero; los hornos,camioneta,13,7.93,61.0,86,108,6,14.7,0.0,46.42,257,19,238,17,24,0,nan,2,98.15,media,1,despejado,mañana,parcial,entrega parcial,31.94,61.0,98.15
2154,2025-12-30,1,52,3,el peligro,-34.830507,-57.912789,el peligro; abasto; lisandro olmos,camioneta,13,3.42,26.3,85,100,5,20.0,0.0,10.91,217,110,107,15,35,0,nan,0,100.0,media,0,despejado,mañana,completa_ok,nan,27.82,26.3,100.0
2155,2025-07-01,1,26,2,lisandro olmos,-34.800641,-57.903338,lisandro olmos; melchor romero,furgoneta,8,7.84,98.0,82,97,4,34.5,1.21,18.16,276,114,162,1,29,0,nan,2,97.94,media,1,despejado,mañana,parcial,contactar cliente,36.31,98.0,97.94
2156,2025-01-09,3,1,7,la plata,-34.920158,-57.948953,la plata; tolosa; manuel b. gonnet,furgoneta,8,5.78,72.2,84,104,6,11.0,0.39,136.8,164,5,223,0,20,0,nan,0,100.0,media,0,despejado,mañana,completa_ok,nan,23.75,72.2,100.0
2157,2025-05-30,4,21,5,manuel b. gonnet,-34.925637,-57.926758,manuel b. gonnet; city bell,camioneta,13,5.46,42.0,72,83,7,27.6,2.41,11.04,311,150,161,0,21,0,nan,0,100.0,media,1,despejado,mañana,con_incidente,nan,39.26,42.0,100.0
2158,2025-12-23,1,51,3,ringuelet,-34.947522,-57.931708,ringuelet,camioneta,13,8.55,65.8,84,96,8,20.4,0.0,19.12,282,64,218,12,25,0,nan,0,100.0,media,1,despejado,mañana,con_incidente,nan,35.78,65.8,100.0
2159,2025-02-10,0,6,4,la plata,-34.92377,-57.954425,la plata; abasto; lisandro olmos,furgoneta,8,3.37,42.1,64,75,4,34.0,1.75,15.11,254,135,119,3,27,0,nan,0,100.0,media,0,nublado,mañana,con_incidente,nan,32.74,42.1,100.0
2160,2025-07-15,1,28,7,city bell,-34.872576,-57.979439,city bell; joaquin gorina,furgoneta,8,7.84,98.0,90,117,12,25.0,0.06,11.54,285,130,155,7,27,0,nan,0,100.0,baja,0,despejado,mañana,completa_ok,nan,36.58,98.0,100.0
2161,2025-03-06,3,9,6,city bell,-34.873327,-57.979744,city bell; manuel b. gonnet,camioneta,13,5.8,44.6,67,81,5,19.6,2.11,8.17,270,144,126,17,45,0,nan,1,98.77,media,1,despejado,mañana,parcial,reintentar mañana,34.65,44.6,98.77
2162,2025-06-20,4,24,4,la plata,-34.921283,-57.954607,la plata; tolosa,furgoneta,8,7.84,98.0,74,88,2,20.6,0.07,6.86,254,203,94,35,37,0,nan,0,100.0,baja,1,despejado,mañana,parcial,reintentar mañana,37.81,98.0,100.0
2163,2025-12-30,1,52,7,abasto,-34.818068,-57.916434,abasto; lisandro olmos,camioneta,13,4.16,32.0,66,76,3,16.5,1.61,24.15,156,41,115,29,19,0,nan,0,100.0,baja,0,lluvia ligera,mañana,completa_ok,nan,20.82,32.0,100.0
2164,2025-03-30,6,13,1,la plata,-34.921628,-57.9442,la plata; centro; berisso; villa argüello,camioneta,13,5.28,40.6,83,99,7,28.6,0.0,17.33,285,99,186,28,17,0,nan,1,98.99,media,1,despejado,mañana,parcial,reintentar mañana,34.48,40.6,98.99
2165,2025-02-25,1,8,2,villa elvira,-34.888104,-57.945534,villa elvira; villa montoro,camioneta,13,5.94,45.7,86,104,11,27.9,0.0,12.13,314,138,176,6,19,0,nan,0,100.0,media,1,viento fuerte,mañana,con_incidente,nan,40.52,45.7,100.0
2166,2025-05-02,4,17,5,ringuelet,-34.948227,-57.928116,ringuelet,camioneta,13,5.97,45.9,76,97,6,14.8,0.0,26.91,189,33,156,7,14,0,nan,0,100.0,media,0,despejado,mañana,completa_ok,nan,23.57,45.9,100.0
2167,2025-03-18,1,11,4,ringuelet,-34.949598,-57.929366,ringuelet; tolosa,camioneta,13,3.64,28.0,82,97,5,32.6,1.04,18.63,295,105,190,7,16,0,nan,0,100.0,baja,0,despejado,mañana,con_incidente,nan,36.24,28.0,100.0
2168,2025-06-20,4,24,1,gonnet,-34.927474,-57.926602,gonnet; villa elvira,camion 3.5t,18,5.38,29.9,82,94,8,26.5,1.47,6.94,338,229,109,8,19,0,nan,0,100.0,baja,1,despejado,mañana,con_incidente,nan,43.13,29.9,100.0
2169,2025-07-18,4,28,7,la plata,-34.922789,-57.954138,la plata; centro,camioneta,13,7.35,56.5,95,109,12,25.3,0.07,84.33,283,18,265,6,21,0,nan,0,100.0,media,0,despejado,mañana,completa_ok,nan,35.04,56.5,100.0
2170,2025-08-18,0,33,7,melchor romero,-34.948581,-57.976576,melchor romero; los hornos,furgoneta,8,7.84,98.0,82,102,4,25.5,0.0,8.6,290,178,112,17,28,0,nan,0,100.0,media,1,lluvia ligera,mañana,con_incidente,nan,34.6,98.0,100.0
2171,2025-09-27,5,38,5,ringuelet,-34.945221,-57.931402,ringuelet; tolosa,furgoneta,8,7.84,98.0,72,87,9,20.2,0.34,242.4,167,5,162,5,10,0,nan,0,100.0,baja,0,despejado,mañana,completa_ok,nan,22.47,98.0,100.0
2172,2025-10-18,5,41,7,berisso,-34.857035,-57.873805,berisso; el carmen,camioneta,13,8.55,65.8,77,95,7,17.7,0.0,12.49,270,85,185,9,25,0,nan,1,98.95,baja,1,despejado,mañana,parcial,devolver a depósito,31.58,65.8,98.95
2173,2025-06-15,6,24,6,la plata,-34.924446,-57.955642,la plata; los hornos,camioneta,13,7.51,57.8,80,94,2,28.5,0.63,8.55,316,200,116,15,24,0,nan,2,97.87,media,1,nublado,mañana,parcial,devolver a depósito,37.62,57.8,97.87
2174,2025-05-11,6,19,1,tolosa,-34.920757,-57.955224,tolosa; joaquin gorina,camioneta,13,5.32,40.9,83,101,7,37.6,0.0,32.64,236,75,189,0,31,0,nan,1,99.01,media,1,nublado,mañana,parcial,devolver a depósito,33.95,40.9,99.01
2175,2025-11-24,0,47,6,city bell,-34.870832,-57.977623,city bell; joaquin gorina,camioneta,13,6.76,52.0,88,100,10,26.3,1.38,9.23,295,171,124,1,19,0,nan,0,100.0,media,0,despejado,mañana,con_incidente,nan,35.06,52.0,100.0
2176,2025-12-03,2,48,3,tolosa,-34.92722,-57.950812,tolosa; el peligro; lisandro olmos,camioneta,13,4.05,31.2,84,95,6,26.6,1.09,13.87,199,122,112,3,23,0,nan,0,100.0,baja,0,despejado,mañana,completa_ok,nan,31.03,31.2,100.0
2177,2025-05-06,1,18,3,villa montoro,-34.89816,-57.947302,villa montoro; villa elvira; los hornos,furgoneta,8,7.4,92.5,89,106,6,32.2,1.19,18.12,373,100,226,10,32,1,nan,1,99.06,media,1,despejado,mañana,con_incidente,nan,39.71,92.5,99.06
2178,2025-11-16,6,46,1,villa montoro,-34.897322,-57.950323,villa montoro; villa elvira,furgoneta,8,6.5,81.2,61,67,4,23.0,0.0,19.34,243,67,128,5,34,0,nan,4,94.03,media,1,despejado,mañana,parcial,contactar cliente,26.88,81.2,94.03
2179,2025-01-06,0,1,7,melchor romero,-34.943982,-57.978917,melchor romero; los hornos; villa montoro,camioneta,13,9.28,71.4,65,75,4,28.0,0.3,18.44,255,82,150,3,45,0,nan,2,97.33,media,0,lluvia ligera,mañana,con_incidente,nan,27.97,71.4,97.33
2180,2025-10-31,4,43,2,villa elisa,-34.918889,-57.977093,villa elisa; city bell; joaquin gorina,camioneta,13,6.0,46.2,83,97,4,21.2,2.17,18.71,287,68,219,2,27,0,nan,2,97.94,baja,1,nublado,mañana,parcial,entrega parcial,34.63,46.2,97.94
2181,2025-03-02,6,9,6,city bell,-34.869638,-57.974893,city bell,camioneta,13,9.66,74.3,68,84,2,20.0,0.59,7.89,251,152,99,0,23,0,nan,0,100.0,media,1,despejado,mañana,con_incidente,nan,33.34,74.3,100.0
2182,2025-05-24,5,20,4,ringuelet,-34.949592,-57.933275,ringuelet; gonnet; manuel b. gonnet,furgoneta,8,4.09,51.1,86,98,4,24.9,1.68,53.36,207,28,179,3,22,0,nan,1,98.98,media,1,despejado,mañana,parcial,reintentar mañana,26.68,51.1,98.98
2183,2025-08-26,1,34,1,abasto,-34.819416,-57.926885,abasto; lisandro olmos; el peligro,furgoneta,8,7.84,98.0,69,83,5,30.3,1.86,14.43,223,126,97,0,17,0,nan,1,98.8,media,1,nublado,mañana,parcial,devolver a depósito,29.29,98.0,98.8
2184,2025-01-12,6,2,5,lisandro olmos,-34.800255,-57.899297,lisandro olmos; melchor romero; los hornos,furgoneta,8,6.06,75.8,88,116,3,28.1,0.0,7.92,351,213,138,8,28,0,nan,0,100.0,alta,1,lluvia ligera,mañana,con_incidente,nan,43.03,75.8,100.0
2185,2025-11-29,5,47,3,la plata,-34.925848,-57.96052,la plata; tolosa,camioneta,13,3.91,30.1,85,94,2,22.6,1.43,16.34,262,83,179,0,29,0,nan,0,100.0,baja,0,viento fuerte,mañana,completa_ok,nan,33.82,30.1,100.0
2186,2025-04-26,5,16,4,city bell,-34.872194,-57.980551,city bell; gonnet,camioneta,13,5.28,40.6,75,85,2,21.1,0.49,11.53,257,116,185,0,32,0,nan,0,100.0,media,1,despejado,mañana,con_incidente,nan,37.72,40.6,100.0
2187,2025-01-23,3,3,3,villa elisa,-34.916559,-57.980565,villa elisa; la plata,camion 3.5t,18,4.51,25.1,71,95,7,18.2,2.2,10.4,237,105,132,18,26,0,nan,0,100.0,media,1,despejado,mañana,con_incidente,nan,30.4,25.1,100.0
2188,2025-03-21,4,11,1,city bell,-34.871419,-57.979004,city bell; joaquin gorina,furgoneta,8,5.19,64.9,97,115,9,25.2,0.0,16.8,242,90,152,9,15,0,nan,0,100.0,alta,0,despejado,mañana,completa_ok,nan,32.89,64.9,100.0
2189,2025-03-27,3,12,2,el carmen,-34.841688,-57.900471,el carmen; villa san carlos,camion 3.5t,18,7.77,43.2,89,104,5,30.2,0.0,13.52,445,126,232,28,26,1,nan,2,98.08,media,1,nublado,mañana,con_incidente,nan,43.43,43.2,98.08
2190,2025-03-08,5,9,6,tolosa,-34.919189,-57.953843,tolosa; ringuelet,camion 3.5t,18,9.19,51.1,82,98,8,17.3,0.0,6.61,263,157,106,6,35,0,nan,0,100.0,alta,1,despejado,mañana,con_incidente,nan,33.94,51.1,100.0
2191,2025-07-26,5,29,1,berisso,-34.860442,-57.875238,berisso; los talas,furgoneta,8,4.65,58.1,78,93,7,20.0,0.54,240.0,183,5,216,3,5,0,nan,2,97.85,media,1,nublado,mañana,parcial,entrega parcial,24.75,58.1,97.85
2192,2025-04-18,4,15,2,ringuelet,-34.94852,-57.928817,ringuelet; manuel b. gonnet; tolosa,furgoneta,8,6.07,75.9,83,94,6,16.5,1.73,123.75,223,8,215,2,29,0,nan,0,100.0,media,0,despejado,mañana,completa_ok,nan,26.24,75.9,100.0
2193,2025-08-18,0,33,6,joaquin gorina,-34.872482,-57.942566,joaquin gorina; gonnet,furgoneta,8,5.64,70.5,73,81,7,18.9,0.66,11.69,236,97,139,8,26,0,nan,0,100.0,baja,0,despejado,mañana,con_incidente,nan,28.27,70.5,100.0
2194,2025-01-16,3,2,1,gonnet,-34.937574,-57.924885,gonnet; ringuelet,furgoneta,8,2.54,31.8,97,115,2,32.8,1.5,16.13,349,122,227,7,16,0,nan,2,98.26,baja,1,nublado,mañana,parcial,contactar cliente,43.52,31.8,98.26
2195,2025-04-08,1,14,5,tolosa,-34.921754,-57.952946,tolosa; altos de san lorenzo,camioneta,13,7.03,54.1,68,79,4,28.1,1.4,80.29,204,21,183,18,29,0,nan,0,100.0,media,0,despejado,mañana,completa_ok,nan,29.07,54.1,100.0
2196,2025-09-15,0,37,5,berisso,-34.858118,-57.871059,berisso; villa argüello,camioneta,13,10.6,81.5,76,91,7,32.4,0.0,8.64,326,225,101,5,13,0,nan,0,100.0,media,1,despejado,mañana,con_incidente,nan,39.11,81.5,100.0
2197,2025-04-19,5,15,3,melchor romero,-34.950263,-57.9814,melchor romero; lisandro olmos,furgoneta,8,7.84,98.0,72,79,5,30.3,0.0,19.14,251,95,156,4,35,0,nan,0,100.0,media,0,despejado,mañana,completa_ok,nan,30.79,98.0,100.0
